,Elevation (ft),Capacity (ac-ft),Area (ac)
822,5783.22,4508.31,609.58
823,5783.23,4514.41,609.73
824,5783.24,4520.51,609.88
825,5783.25,4526.6,610.03
826,5783.26,4532.7,610.18
827,5783.2699999999995,4538.8,610.33
828,5783.28,4544.91,610.47
829,5783.29,4551.01,610.62
830,5783.3,4557.11,610.77
831,5783.31,4563.22,610.92
832,5783.320000000001,4569.33,611.07
833,5783.33,4575.44,611.22
834,5783.34,4581.55,611.36
835,5783.35,4587.66,611.51
836,5783.360000000001,4593.77,611.66
837,5783.37,4599.89,611.81
838,5783.38,4606.0,611.96
839,5783.39,4612.12,612.1
840,5783.4,4618.24,612.25
841,5783.41,4624.36,612.4
842,5783.42,4630.48,612.55
843,5783.429999999999,4636.61,612.7
844,5783.44,4642.73,612.85
